id,predictions
6141cf0efbfd4bd9ab2c2f7e,0.3579
6141cf0fe689ecc4c43cdd4b,0.3579
6141cf10b842c2e72e2f2d44,0.3577
6141cf10b842c2e72e2f2d46,0.3577
6141cf1302d926221cabc549,1.1484
6141cf1351c1cbd9654b8874,0.3047
6141cf143ac25c70a5c6c839,0.3915
6141cf1469b0784ffcf8f851,1.8001
6141cf1469b0784ffcf8f853,1.8001
6141cf14b842c2e72e2f2d4e,0.3577
6141cf14cc0e69a0cf28ab3f,1.1465
6141cf14ee0a3fd43fb479d7,0.3500999999999999
6141cf1531cf3ef3d4a9ed40,0.3886999999999999
6141cf153ac25c70a5c6c83b,0.3841
6141cf1569b0784ffcf8f855,1.8001
6141cf15b842c2e72e2f2d50,0.3577
6141cf15cc0e69a0cf28ab41,0.3579
6141cf15ee0a3fd43fb479d9,0.4290999999999999
6141cf1602d926221cabc54d,1.1484
6141cf1631cf3ef3d4a9ed42,0.3925
6141cf1669b0784ffcf8f857,1.8001
6141cf16cc0e69a0cf28ab43,1.1475
6141cf1769b0784ffcf8f859,1.8001
6141cf17a05be5973bd77a6b,1.8001
6141cf17ee0a3fd43fb479df,0.3530999999999999
6141cf181d648932fbc34291,0.3482
6141cf181d648932fbc34293,0.3482
6141cf1831cf3ef3d4a9ed46,0.3814000000000001
6141cf184e27a1844a5efffa,1.1494
6141cf18a05be5973bd77a6d,1.8001
6141cf18b842c2e72e2f2d58,0.3577
6141cf18baaf234b3529018a,1.1081
6141cf18cc0e69a0cf28ab47,1.111
6141cf18ee0a3fd43fb479e3,0.3576999999999999
6141cf1931cf3ef3d4a9ed48,0.4196000000000001
6141cf194e27a1844a5efffc,1.1472
6141cf199cbada84a86767c5,1.8091
6141cf19a05be5973bd77a6f,1.8001
6141cf19ee0a3fd43fb479e5,0.43239999999999995
6141cf1a4e27a1844a5f0000,1.1472
6141cf1a4e27a1844a5f0002,1.1472
6141cf1a9cbada84a86767c9,1.8091
6141cf1a9cbada84a86767cb,1.8091
6141cf1abaaf234b35290190,1.0205
6141cf1abaaf234b35290192,1.0597
6141cf1b1d648932fbc34299,0.3482
6141cf1b31cf3ef3d4a9ed4c,0.4077999999999999
6141cf1b4e27a1844a5f0004,1.1467
6141cf1b69b0784ffcf8f861,1.8001
6141cf1bbaaf234b35290194,1.0967
6141cf1c69b0784ffcf8f863,1.8001
6141cf1cbaaf234b35290196,0.6524
6141cf1d02d926221cabc555,1.1484
6141cf1d1d648932fbc3429b,0.3482
6141cf1d9cbada84a86767d1,1.8091
6141cf1db842c2e72e2f2d5a,0.3577
6141cf1dbaaf234b35290198,1.1066
6141cf1dcc0e69a0cf28ab4d,0.356
6141cf1dee0a3fd43fb479ed,0.3612999999999999
6141cf1e1d648932fbc3429d,0.3482
6141cf1e31cf3ef3d4a9ed52,0.4014
6141cf1e3ac25c70a5c6c843,0.3474
6141cf1e9cbada84a86767d3,1.8091
